;name;COUNT(date);sellQuantity;real_speed;quantity;externalCode;priceType;price;ordering
356;"Коряга виноградная ""Африканская"" (Артикул 1, 20 см)";108;37.0;0.3425925925925926;7.0;VuAH9ISyjiMMmOTaSUkCa1;opt;730.0;960.0
357;"Коряга виноградная ""Африканская"" (Артикул 10, XL)";163;3.0;0.018404907975460124;13.0;dZKgadbUjwfbTSoOORooq3;opt;3200.0;960.0
358;"Коряга виноградная ""Африканская"" (Артикул 2, 30 см)";109;46.0;0.42201834862385323;22.0;Yi-qityogTax9ASNmfPku2;opt;950.0;960.0
359;"Коряга виноградная ""Африканская"" (Артикул 3, 40 см)";110;45.0;0.4090909090909091;27.0;e7dQsvY5jnaYZ9ZqLNbui2;opt;1260.0;960.0
360;"Коряга виноградная ""Африканская"" (Артикул 4, 50 см)";111;42.0;0.3783783783783784;30.0;zQDHQiwJgxsz1Yjii4ImP1;opt;1520.0;960.0
361;"Коряга виноградная ""Африканская"" (Артикул 5, 60 см)";155;31.0;0.2;37.0;SDyMtm1gimdKG-CsuBqLL2;opt;1890.0;960.0
362;"Коряга виноградная ""Африканская"" (Артикул 6, 70 см)";159;29.0;0.18238993710691823;33.0;K5SgekfPhRcB22eYpSTy03;opt;2130.0;960.0
363;"Коряга виноградная ""Африканская"" (Артикул 7, 100 см)";146;5.0;0.03424657534246575;30.0;3AxPUm1fjTqeRffOGapFZ3;opt;2910.0;960.0
364;"Коряга виноградная ""Африканская"" (Артикул 8, 80 см)";171;17.0;0.09941520467836257;26.0;858wfExTgrxpbXTc0Ea3j3;opt;2420.0;960.0
365;"Коряга виноградная ""Африканская"" (Артикул 9, 90 см)";163;10.0;0.06134969325153374;25.0;5CtJ9wbJjXOyui7VyEEa61;opt;2620.0;960.0
366;Коряга натуральная затонувшая S 20-30 см (Артикул 1, 20-30 см);38;12.0;0.3157894736842105;0.0;MbYC1r9DjXOXRwtOFMuIO2;;;
367;Коряга натуральная затонувшая XS 10-20 см (Артикул 1, 10-20см);34;11.0;0.3235294117647059;0.0;mm2rf5oKgYbO25fTi51a73;;;
368;Коряга натуральная затонувшая М 30-50см (Артикул 1, 30-50см);82;13.0;0.15853658536585366;0.0;E2f0oCcyj3B5O4blN9KUH2;;;
369;Коряга натуральная Плющ (Артикул 1, 45-50 см);116;;;4.0;Vw0bZnRuj8mon9XNfQeHE1;;;
370;Коряга натуральная Плющ (Артикул 2, 60-65 см);116;;;3.0;Fwzzhybngk71Q6uLRl4nr3;;;
371;Коряга натуральная Сакура M 30-60см (Артикул 1, 30-60см);120;5.0;0.041666666666666664;3.0;PquFg9KMgQPvZ2HH4bgFN1;;;
372;Коряга натуральная Сакура S 20-30см (Артикул 1, 20-30 см, 100 г);128;17.0;0.1328125;0.0;1DTMc9rHhmASo19txgoJ71;;;
373;Коряга с растениями, Laguna (Артикул 1, 130*60*50мм);175;28.0;0.16;5.0;5yTefEdYg-hRKMyDZBZ3F0;;;
374;Коряга с растениями, Laguna (Артикул 2, 120*75*65мм);177;11.0;0.062146892655367235;2.0;iY82fUwjjxoQk2TQkhKMB1;;;
375;Коряга с растениями, Laguna (Артикул 3, 110*75*130мм);76;3.0;0.039473684210526314;0.0;9XNDe2ixjNklL9btgVMIo2;;;
376;Красноглазая квакша (Agalychnis callidryas) (Артикул 1);160;25.0;0.15625;4.0;0cdc0553-317b-43b8-acb5-873383a94bb6;;;
377;Кролик замороженный кормовой (200-300 г) (Артикул 1);59;6.0;0.1016949152542373;0.0;ZZSbfqLqjEzETySRM660z2;;;
378;Кролик замороженный кормовой (400-600 г) (Артикул 1);51;1.0;0.0196078431372549;1.0;IuEyrH91jSlUvdO8kG1CQ1;;;
379;кролик замороженный кормовой (700+ г) (Артикул 1);117;12.0;0.10256410256410256;2.0;ea0VyDH3jX6VYiiUwn-rs1;;;
380;Кролик замороженный кормовой (голыши, опушата) 150г (Артикул 1, 12-15см, корм, легко хранить,длительные сроки хранения, Легкая);113;6.0;0.05309734513274336;1.0;a0e44ea9-1df6-4423-9019-c55ac5a6d08f;;;
381;"Кружка сувенирная ""Планета Экзотики"" 300мл. (Артикул 1, 300 мл)";180;1.0;0.005555555555555556;27.0;MJuE8yrLi8mwmW7YvoHUz2;;;
